"","id","nm","lat","lon","countryCode","cityid","g","dt_txt","temp","pressure","humidity","temp_min","temp_max","weather_id","weather_main","weather_description","weather_icon","wind_speed","wind_deg","clouds_all","visibility","dt","name","coord_lon","coord_lat","sys_country","sys_timezone","sys_sunrise","sys_sunset","feels_like","sea_level","grnd_level"
"238",3670475,"Sabaneta",6.15,-75.599998,"CO","COsabaneta",16,"2020-04-30 12:14:53",293.93,1022,61,292.04,298.15,802,"Clouds","scattered clouds","03d",0.15,51,40,10000,1588266893,"Sabaneta",-75.6,6.15,"CO",-18000,1588243763,1588288171,294.75,NA,NA
"239",3667873,"Sogamoso",5.71434,-72.933907,"CO","COsogamoso",17,"2020-04-30 12:14:53",290.55,1013,36,290.55,290.55,500,"Rain","light rain","10d",2.19,112,51,NA,1588266893,"Sogamoso",-72.93,5.71,"CO",-18000,1588243151,1588287501,287.37,1013,761
"240",3673424,"Pacho",5.13278,-74.159767,"CO","COpacho",18,"2020-04-30 12:14:58",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266898,"Pacho",-74.16,5.13,"CO",-18000,1588243484,1588287759,291.4,NA,NA
"241",3682047,"Gigante",2.38677,-75.545311,"CO","COgigante",19,"2020-04-30 12:14:58",306.15,1014,43,306.15,306.15,802,"Clouds","scattered clouds","03d",2.6,NA,40,10000,1588266898,"Gigante",-75.55,2.39,"CO",-18000,1588243995,1588287915,307.44,NA,NA
"242",3665973,"Villamaria",5.04492,-75.514603,"CO","COvillamaria",20,"2020-04-30 12:14:53",298.15,1020,78,298.15,298.15,802,"Clouds","scattered clouds","03d",2.6,330,40,10000,1588266893,"Villamaria",-75.51,5.04,"CO",-18000,1588243814,1588288077,300.46,NA,NA
"243",3686279,"Cienaga",11.00703,-74.24765,"CO","COcienaga",1,"2020-04-30 12:14:58",302.15,1013,74,302.15,302.15,803,"Clouds","broken clouds","04d",3.6,260,75,10000,1588266898,"Cienaga",-74.25,11.01,"CO",-18000,1588243116,1588288169,305.38,NA,NA
"244",3667760,"Subachoque",4.92614,-74.172989,"CO","COsubachoque",2,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Subachoque",-74.17,4.93,"CO",-18000,1588243499,1588287748,291.4,NA,NA
"245",3665895,"Villeta",5.00886,-74.47226,"CO","COvilleta",3,"2020-04-30 12:14:53",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266893,"Villeta",-74.47,5.01,"CO",-18000,1588243566,1588287825,291.4,NA,NA
"246",3682160,"Garagoa",5.08236,-73.363342,"CO","COgaragoa",4,"2020-04-30 12:14:58",292.82,1013,47,292.82,292.82,500,"Rain","light rain","10d",2.24,112,93,NA,1588266898,"Garagoa",-73.36,5.08,"CO",-18000,1588243295,1588287563,290.8,1013,820
"247",3666680,"Trujillo",4.21217,-76.31945,"CO","COtrujillo",5,"2020-04-30 12:14:53",298.15,1020,73,298.15,298.15,803,"Clouds","broken clouds","04d",0.74,327,75,10000,1588266893,"Trujillo",-76.32,4.21,"CO",-18000,1588244062,1588288217,301.24,NA,NA
"248",3688254,"Bugalagrande",4.21207,-76.15564,"CO","CObugalagrande",6,"2020-04-30 12:14:58",298.15,1020,73,298.15,298.15,803,"Clouds","broken clouds","04d",0.49,323,75,10000,1588266898,"Bugalagrande",-76.16,4.21,"CO",-18000,1588244023,1588288179,301.42,NA,NA
"249",3671315,"Puerto Tejada",3.23114,-76.416679,"CO","COpuerto tejada",7,"2020-04-30 12:14:58",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266898,"Puerto Tejada",-76.42,3.23,"CO",-18000,1588244149,1588288178,304.53,NA,NA
"250",3690577,"Acacias",3.98695,-73.757973,"CO","COacacias",8,"2020-04-30 12:14:59",302.15,1016,70,302.15,302.15,802,"Clouds","scattered clouds","03d",1.84,102,40,10000,1588266899,"Acacias",-73.76,3.99,"CO",-18000,1588243462,1588287589,306.08,NA,NA
"251",3690520,"Agrado",2.25725,-75.771423,"CO","COagrado",9,"2020-04-30 12:14:59",301.83,1013,46,301.83,301.83,500,"Rain","light rain","10d",2.4,185,6,NA,1588266899,"Agrado",-75.77,2.26,"CO",-18000,1588244056,1588287959,302.1,1013,922
"252",3682292,"Fundacion",10.52066,-74.185043,"CO","COfundacion",10,"2020-04-30 12:14:58",308.71,1003,54,308.71,308.71,804,"Clouds","overcast clouds","04d",0.45,137,97,NA,1588266898,"Fundacion",-74.19,10.52,"CO",-18000,1588243135,1588288122,314.69,NA,NA
"253",3666519,"Ubate",5.30933,-73.815742,"CO","COubate",11,"2020-04-30 12:14:53",292.67,1014,32,292.67,292.67,500,"Rain","light rain","10d",1.2,129,75,NA,1588266893,"Ubate",-73.82,5.31,"CO",-18000,1588243390,1588287689,290.22,1014,758
"254",3676397,"Lorica",9.23648,-75.813499,"CO","COlorica",12,"2020-04-30 12:14:58",305.15,1012,66,305.15,305.15,803,"Clouds","broken clouds","04d",1.93,244,75,10000,1588266898,"Lorica",-75.81,9.24,"CO",-18000,1588243609,1588288425,310.12,NA,NA
"255",3668572,"Santander de Quilichao",3.00945,-76.48494,"CO","COsantander de quilichao",13,"2020-04-30 12:14:53",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266893,"Santander de Quilichao",-76.48,3.01,"CO",-18000,1588244178,1588288178,304.53,NA,NA
"256",3684917,"El Banco",9.00114,-73.975807,"CO","COel banco",14,"2020-04-30 12:14:58",307.59,1010,53,307.59,307.59,500,"Rain","light rain","10d",1.48,265,76,NA,1588266898,"El Banco",-73.98,9,"CO",-18000,1588243186,1588287970,312.05,1010,1007
"257",3665913,"Villa del Rosario",7.83389,-72.474167,"CO","COvilla del rosario",15,"2020-04-30 12:14:53",305.15,1015,55,305.15,305.15,802,"Clouds","scattered clouds","03d",1.5,NA,40,10000,1588266893,"Villa del Rosario",-72.47,7.83,"CO",-18000,1588242901,1588287530,308.7,NA,NA
"258",3670856,"Restrepo",3.82203,-76.522423,"CO","COrestrepo",16,"2020-04-30 12:14:58",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266898,"Restrepo",-76.52,3.82,"CO",-18000,1588244135,1588288240,304.53,NA,NA
"259",3679065,"La Estrella",6.15769,-75.643173,"CO","COla estrella",17,"2020-04-30 12:14:58",294.48,1022,61,292.04,298.15,802,"Clouds","scattered clouds","03d",0.14,357,40,10000,1588266898,"La Estrella",-75.64,6.16,"CO",-18000,1588243772,1588288181,295.48,NA,NA
"260",3674702,"Miranda",3.24991,-76.228142,"CO","COmiranda",18,"2020-04-30 12:14:58",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266898,"Miranda",-76.23,3.25,"CO",-18000,1588244102,1588288134,304.53,NA,NA
"261",3672110,"Pitalito",1.84966,-76.047852,"CO","COpitalito",19,"2020-04-30 12:14:58",297.96,1013,47,297.96,297.96,500,"Rain","light rain","10d",2.02,141,18,NA,1588266898,"Pitalito",-76.05,1.85,"CO",-18000,1588244150,1588288000,297.39,1013,877
"262",3668332,"Santo Tomas",10.75773,-74.754509,"CO","COsanto tomas",20,"2020-04-30 12:14:53",307.15,1011,56,307.15,307.15,802,"Clouds","scattered clouds","03d",3.6,90,40,10000,1588266893,"Santo Tomas",-74.75,10.76,"CO",-18000,1588243253,1588288273,310.42,NA,NA
"263",3670849,"El Retiro",6.05861,-75.503059,"CO","COel retiro",1,"2020-04-30 12:14:58",292.49,1028,77,292.04,293.15,802,"Clouds","scattered clouds","03d",3.1,200,40,10000,1588266898,"El Retiro",-75.5,6.06,"CO",-18000,1588243745,1588288141,292.01,NA,NA
"264",3665678,"Yotoco",3.86048,-76.383636,"CO","COyotoco",2,"2020-04-30 12:14:53",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266893,"Yotoco",-76.38,3.86,"CO",-18000,1588244099,1588288209,304.53,NA,NA
"265",3668323,"Santuario",6.13833,-75.264168,"CO","COsantuario",3,"2020-04-30 12:14:53",292.45,1028,77,292.04,293.15,802,"Clouds","scattered clouds","03d",3.1,200,40,10000,1588266893,"Santuario",-75.26,6.14,"CO",-18000,1588243682,1588288089,291.95,NA,NA
"266",3671325,"Puerto Santander",8.36361,-72.406303,"CO","COpuerto santander",4,"2020-04-30 12:14:58",305.15,1015,55,305.15,305.15,802,"Clouds","scattered clouds","03d",1.5,NA,40,10000,1588266898,"Puerto Santander",-72.41,8.36,"CO",-18000,1588242852,1588287551,308.7,NA,NA
"267",3677010,"La Tebaida",4.45265,-75.78746,"CO","COla tebaida",5,"2020-04-30 12:14:58",298.15,1020,73,298.15,298.15,803,"Clouds","broken clouds","04d",1.26,285,75,10000,1588266898,"La Tebaida",-75.79,4.45,"CO",-18000,1588243919,1588288106,300.88,NA,NA
"268",3671497,"Puerto Colombia",10.98778,-74.95472,"CO","COpuerto colombia",6,"2020-04-30 12:14:58",307.15,1011,56,307.15,307.15,802,"Clouds","scattered clouds","03d",3.6,90,40,10000,1588266898,"Puerto Colombia",-74.95,10.99,"CO",-18000,1588243286,1588288336,310.42,NA,NA
"269",3675595,"Malambo",10.85953,-74.773857,"CO","COmalambo",7,"2020-04-30 12:14:58",307.15,1011,56,307.15,307.15,802,"Clouds","scattered clouds","03d",3.6,90,40,10000,1588266898,"Malambo",-74.77,10.86,"CO",-18000,1588243251,1588288284,310.42,NA,NA
"270",3667158,"Tierralta",8.17361,-76.059174,"CO","COtierralta",8,"2020-04-30 12:14:53",304.08,1011,66,304.08,304.08,500,"Rain","light rain","10d",2.39,279,71,NA,1588266893,"Tierralta",-76.06,8.17,"CO",-18000,1588243740,1588288414,308.12,1011,1005
"271",3666640,"Tumaco",1.79861,-78.815559,"CO","COtumaco",9,"2020-04-30 12:14:53",302.41,1012,68,302.41,302.41,801,"Clouds","few clouds","02d",3.42,264,14,NA,1588266893,"Tumaco",-78.82,1.8,"CO",-18000,1588244818,1588288662,305.11,1012,1011
